num__Pclass
num__Age
num__SibSp
num__Parch
cat__Name_Albimona, Mr. Nassef Cassem
cat__Name_Allen, Miss. Elisabeth Walton
cat__Name_Allen, Mr. William Henry
cat__Name_Allison, Miss. Helen Loraine
cat__Name_Andersson, Master. Sigvard Harald Elias
cat__Name_Andersson, Miss. Ellis Anna Maria
cat__Name_Andersson, Mr. Anders Johan
cat__Name_Andreasson, Mr. Paul Edvin
cat__Name_Andrew, Mr. Edgardo Samuel
cat__Name_Appleton, Mrs. Edward Dale (Charlotte Lamson)
cat__Name_Arnold-Franchi, Mr. Josef
cat__Name_Asplund, Master. Clarence Gustaf Hugo
cat__Name_Attalah, Miss. Malake
cat__Name_Aubart, Mme. Leontine Pauline
cat__Name_Backstrom, Mr. Karl Alfred
cat__Name_Backstrom, Mrs. Karl Alfred (Maria Mathilda Gustafsson)
cat__Name_Baclini, Miss. Helene Barbara
cat__Name_Baclini, Mrs. Solomon (Latifa Qurban)
cat__Name_Barkworth, Mr. Algernon Henry Wilson
cat__Name_Barton, Mr. David John
cat__Name_Bateman, Rev. Robert James
cat__Name_Beckwith, Mr. Richard Leonard
cat__Name_Bengtsson, Mr. John Viktor
cat__Name_Bishop, Mr. Dickinson H
cat__Name_Bissette, Miss. Amelia
cat__Name_Blackwell, Mr. Stephen Weart
cat__Name_Bostandyeff, Mr. Guentcho
cat__Name_Boulos, Mrs. Joseph (Sultana)
cat__Name_Brewe, Dr. Arthur Jackson
cat__Name_Burke, Mr. Jeremiah
cat__Name_Buss, Miss. Kate
cat__Name_Byles, Rev. Thomas Roussel Davids
cat__Name_Calic, Mr. Jovo
cat__Name_Campbell, Mr. William
cat__Name_Cardeza, Mr. Thomas Drake Martinez
cat__Name_Carlsson, Mr. Frans Olof
cat__Name_Carter, Rev. Ernest Courtenay
cat__Name_Chaffee, Mr. Herbert Fuller
cat__Name_Charters, Mr. David
cat__Name_Chibnall, Mrs. (Edith Martha Bowerman)
cat__Name_Chronopoulos, Mr. Apostolos
cat__Name_Coelho, Mr. Domingos Fernandeo
cat__Name_Colley, Mr. Edward Pomeroy
cat__Name_Connaghton, Mr. Michael
cat__Name_Cor, Mr. Liudevit
cat__Name_Crosby, Capt. Edward Gifford
cat__Name_Culumovic, Mr. Jeso
cat__Name_Cumings, Mrs. John Bradley (Florence Briggs Thayer)
cat__Name_Dahlberg, Miss. Gerda Ulrika
cat__Name_Dakic, Mr. Branko
cat__Name_Daly, Mr. Eugene Patrick
cat__Name_Daly, Mr. Peter Denis 
cat__Name_Daniel, Mr. Robert Williams
cat__Name_Davies, Mr. Alfred J
cat__Name_Davies, Mr. Charles Henry
cat__Name_Denkoff, Mr. Mitto
cat__Name_Doling, Mrs. John T (Ada Julia Bone)
cat__Name_Downton, Mr. William James
cat__Name_Duff Gordon, Lady. (Lucille Christiana Sutherland) ("Mrs Morgan")
cat__Name_Eitemiller, Mr. George Floyd
