num__PassengerId
num__Survived
num__Age
num__Fare
cat__Name_Abbott, Mrs. Stanton (Rosa Hunt)
cat__Name_Abelson, Mr. Samuel
cat__Name_Abelson, Mrs. Samuel (Hannah Wizosky)
cat__Name_Ahlin, Mrs. Johan (Johanna Persdotter Larsson)
cat__Name_Aks, Mrs. Sam (Leah Rosen)
cat__Name_Alexander, Mr. William
cat__Name_Allen, Miss. Elisabeth Walton
cat__Name_Allison, Mrs. Hudson J C (Bessie Waldo Daniels)
cat__Name_Andersson, Master. Sigvard Harald Elias
cat__Name_Andersson, Miss. Ellis Anna Maria
cat__Name_Andersson, Miss. Erna Alexandra
cat__Name_Andreasson, Mr. Paul Edvin
cat__Name_Andrews, Mr. Thomas Jr
cat__Name_Appleton, Mrs. Edward Dale (Charlotte Lamson)
cat__Name_Asplund, Master. Clarence Gustaf Hugo
cat__Name_Attalah, Miss. Malake
cat__Name_Ayoub, Miss. Banoura
cat__Name_Baclini, Mrs. Solomon (Latifa Qurban)
cat__Name_Bailey, Mr. Percy Andrew
cat__Name_Banfield, Mr. Frederick James
cat__Name_Barkworth, Mr. Algernon Henry Wilson
cat__Name_Barton, Mr. David John
cat__Name_Beane, Mr. Edward
cat__Name_Becker, Master. Richard F
cat__Name_Becker, Miss. Marion Louise
cat__Name_Beckwith, Mr. Richard Leonard
cat__Name_Beckwith, Mrs. Richard Leonard (Sallie Monypeny)
cat__Name_Bengtsson, Mr. John Viktor
cat__Name_Berglund, Mr. Karl Ivar Sven
cat__Name_Bowerman, Miss. Elsie Edith
cat__Name_Bracken, Mr. James H
cat__Name_Brewe, Dr. Arthur Jackson
cat__Name_Brown, Mr. Thomas William Solomon
cat__Name_Bryhl, Mr. Kurt Arnold Gottfrid
cat__Name_Burke, Mr. Jeremiah
cat__Name_Burns, Miss. Elizabeth Margaret
cat__Name_Buss, Miss. Kate
cat__Name_Butler, Mr. Reginald Fenton
cat__Name_Byles, Rev. Thomas Roussel Davids
cat__Name_Calic, Mr. Jovo
cat__Name_Cardeza, Mr. Thomas Drake Martinez
cat__Name_Carlsson, Mr. Frans Olof
cat__Name_Carrau, Mr. Francisco M
cat__Name_Carter, Miss. Lucile Polk
cat__Name_Carter, Mrs. William Ernest (Lucile Polk)
cat__Name_Carter, Rev. Ernest Courtenay
cat__Name_Cavendish, Mr. Tyrell William
cat__Name_Chambers, Mr. Norman Campbell
cat__Name_Chapman, Mr. Charles Henry
cat__Name_Coelho, Mr. Domingos Fernandeo
cat__Name_Coleridge, Mr. Reginald Charles
cat__Name_Collyer, Miss. Marjorie "Lottie"
cat__Name_Collyer, Mr. Harvey
cat__Name_Collyer, Mrs. Harvey (Charlotte Annie Tate)
cat__Name_Coxon, Mr. Daniel
cat__Name_Cribb, Mr. John Hatfield
cat__Name_Cumings, Mrs. John Bradley (Florence Briggs Thayer)
cat__Name_Dahlberg, Miss. Gerda Ulrika
cat__Name_Daly, Mr. Eugene Patrick
cat__Name_Danbom, Mrs. Ernst Gilbert (Anna Sigrid Maria Brogren)
cat__Name_Daniel, Mr. Robert Williams
cat__Name_Dantcheff, Mr. Ristiu
cat__Name_Davies, Mr. Alfred J
cat__Name_Davis, Miss. Mary
cat__Name_Davison, Mrs. Thomas Henry (Mary E Finck)
cat__Name_Dean, Master. Bertram Vere
cat__Name_Denkoff, Mr. Mitto
cat__Name_Dick, Mr. Albert Adrian
cat__Name_Doling, Miss. Elsie
cat__Name_Dooley, Mr. Patrick
cat__Name_Duff Gordon, Lady. (Lucille Christiana Sutherland) ("Mrs Morgan")
cat__Name_Duran y More, Miss. Asuncion
cat__Name_Eitemiller, Mr. George Floyd
cat__Name_Eklund, Mr. Hans Linus
cat__Name_Eustis, Miss. Elizabeth Mussey
cat__Name_Fahlstrom, Mr. Arne Jonas
cat__Name_Flynn, Mr. John
cat__Name_Ford, Miss. Doolina Margaret "Daisy"
cat__Name_Ford, Miss. Robina Maggie "Ruby"
cat__Name_Foreman, Mr. Benjamin Laventall
cat__Name_Fortune, Miss. Alice Elizabeth
cat__Name_Fortune, Miss. Mabel Helen
cat__Name_Fortune, Mr. Charles Alexander
cat__Name_Fortune, Mr. Mark
cat__Name_Frauenthal, Mrs. Henry William (Clara Heinsheimer)
cat__Name_Frolicher-Stehli, Mr. Maxmillian
cat__Name_Garfirth, Mr. John
